Filename,YEAR,KEYWORDS
2025_1.PNG,2025_1,"truth condition, literal meaning, non-literal meaning, implicature, conversational implicature"
2025_2.PNG,2025_2,"entailment, one-way entailment, mutual entailment"
2024_1.PNG,2024_1,"speech act, illocutionary act, indiret speech act"
2024_2.PNG,2024_2,"scope, scope of negation, wide scope, modal auxiliary, deontic necessity"
2023_1.PNG,2023_1,"request, indirect request, pragmatic abilities"
2023_2a.PNG,2023_2a,"coordination, truth condition, clasual coordination, phrasal coordination, negation"
2020_1.PNG,2020_1,"solidarity, formality, speech"
2020_2.PNG,2020_2,"cataphoric word, hedge, conjunction, backchannel"
2018_1.PNG,2018_1,euphemism
2018_2.PNG,2018_2,"ambiguity, scope, quantifier, negative expression, every, not, wide scope"
2016_1.PNG,2016_1,"speech act, sociolinguistic competence, communicative competence"
2016_2.PNG,2016_2,"telic, atelic, telicity, telic event, in, for, finishing point, past tense"
2015_1.PNG,2015_1,"homonymy, homonym, ambiguity"
2013_1a.PNG,2013_1a,"Maxim, Maxim of Quantity, scalar implicature"
2013_1b.PNG,2013_1b,
2012_1.PNG,2012_1,"illocutionary force, indirect, uncooperative, "
2011_1.PNG,2011_1,"complementary pair, gradable pair, relational opposite, reversive, symmetrical relationship"
