LINK,Filename,YEAR,KEYWORDS,TEXT
/TExams/2005_1.png,2005_1.PNG,2005_1,"aspiration, allophone, phoneme",In English aspirated voiceless stops occur at the beginning of a stressed syllable as in pie and appear but unaspirated voiceless stops are produced when preceded by as in spy and spat If is pronounced instead of in pie it does not make a difference in meaning since these two phonetically different sounds count as the same thing in English That is though they are phonetically distinct they belong to the same mental representation and correspond to a single mental category which is phonologically referred to as a Qs The two stops and are allophones of Q
/TExams/2005_2.png,2005_2.PNG,2005_2,"sibilant, sibilants, strident, stridents, plural, suffix",Read the passage and follow the directions The plural suffix s is pronounced as in words like buses bushes benches mazes rouges and garages These words end with the consonants These sounds differ with respect to voicing as well as place and manner of articulation That is they do not share any articulatory feature They do however have an auditory property in common they all have a high pitched hissing sound quality The high pitched hissing sound quality is described by using the feature sibilant These sounds form the natural class of sibilant consonants in English Using this feature makes it possible to state a generalization If we state that occurs in six different situations we treat the six consonants as if they were a random collection of sounds with no relation to each other By referring to the natural class however we can state the generalization like this Fill in the blank with about 12 words
/TExams/2006_1.png,2006_1.PNG,2006_1,"function word, isolation, connected speech, pronunciation",11 Read the passage and follow the directions Words that contain salient information in a sentence are called content words They include nouns verbs adjectives and adverbs The less prominent words in a sentence are called function words Examples of function words are pronouns articles prepositions and conjunctions In connected speech function words are pronounced differently than when they are spoken in isolation Here are some examples Written Form Spoken Form Tom watched her last night _ A cup of tea Give them a break Cory am a breyk Now and then naw an en 4 zo 4 ed go sel Ped ae Al 7212 FR AZ 102 Ye False A ocd PH7NS2 ASS Asst Bao Be Ws Ale 441
/TExams/2006_2a.png,2006_2a.PNG,2006_2a,"morpheme, affix, derivational, en, causative, monosyllabic, obstruent, phonological constraint, constraint",ll 484 23ce S224 avon cle Ae F BE BPNE w7 44 BF Hop AaQ A characteristic of all human languages is the potential to create new words The categories of noun verb adjective and adverb are open in the sense that new members are constantly being added One of the most common types of formation is derivation which creates new words from already existing morphemes Derivation is the process by which a new word is built from a base usually through the addition of an affix However derivation does not always apply freely to the members of a given category Sometimes for instance a particular derivational affix is able to attach only to stems with particular phonological properties A good example of this involves the English suffix en which combines with adjectives to create verbs with a causative meaning However there are many adjectives with which en cannot combine since the suffix en is subject to a phonological constraint In particular it can only combine with a monosyllabic stem that ends in an obstruent
/TExams/2006_2b.png,2006_2b.PNG,2006_2b,"morpheme, affix, derivational, en, causative, monosyllabic, obstruent, phonological constraint, constraint",abstracten liven olden bluen B 7 quicken louden greenen stouten Aaa QE Ba
/TExams/2007_1a.png,2007_1a.PNG,2007_1a,"assimilation, palatalization, third segment",12 ool HHH B2 Sse UE ETS Bol 2A Zo 2 In English we can find a type of assimilation where two segments assimilate to each other The outcome of this assimilation is a third distinct segment which combines Froperties of the two assimilating segments In careful speech for example could you would be realized as but in normal conversation it is more likely to be realized as kacal In the example the alveolar stop and following palatal approximant fuse to give the voiced post alveolar affricate The voice place and manner of articulation of the two input segments are combined to form a third segment
/TExams/2007_1b.png,2007_1b.PNG,2007_1b,"assimilation, palatalization, third segment",in the lobby of a library AtHi would you do me a favor Yes what can I do for you tI think I left my umbrella in the library yesterday Oh did you Any idea where you left it tI don t know But I sat by the window over there TAll right Just a moment I ll go and have a look Thanks After some time PUP o oD Bilm sorry I couldn t find it anywhere Why don t you come back tomorrow I ll ask the janitor if he found it AOkay thanks See you tomarow uh
/TExams/2007_2.png,2007_2.PNG,2007_2,"stress, core, short vowel, diphthong, multiple consonants, syllabel structure, rhyme, heavy",17 Read the passage and fill in each blank using phrases from it English has a set of principles or rules which allow native speakers to assign stress to the appropriate syllable of a word The unit of a syllable may contain as its core a long vowel or a short yowel a monophthong or a diphthong or one or multiple consonants before or after the core Consider the following two syllable verbs ballot exclude attract annoy divide abstract enter delight _ incline salute contain feature protest portion signal We can see that the stress may fall on either the first or the second syllable Since stress placement rules usually apply to the final syllable first compare the underlined rhyme sections of the stressed second syllables with the rhymes of the unstressed counterparts We notice that the final syllable is stressed when it contains or in its rhyme section That is the final syllable is stressed when its rhyme is heavy in a sense Answers
/TExams/2008_1a.png,2008_1a.PNG,2008_1a,"stress placement, stress, number of syllables, strong, heavy, syllable weight, rhyme, weak syllable, syllable peak",ld 2 OR Ya BAF Orll Aste dels 75H Bol 44 F Ad Ah w ale 8 Ol Aad ara 2ade wae A 44 The rules of word stress placement in English are complex and have exceptions but some information such as the grammatical category of the word the number of syllables the word has and the phonological structure of those syllables is important in stress placement Consider the following stress placement rules In three syllable verbs if the final syllable is strong then it is stressed if the final syllable is weak then it is unstressed and stress is placed on the preceding syllable if that syllable is strong In three syllable nous if the final syllable is weak or ends with then it is unstressed if the syllable preceding this final syllable is strong then that middle syllable is stressed if the second and third syllables are both weak then the first syllable is stressed
/TExams/2008_1b.png,2008_1b.PNG,2008_1b,"stress placement, stress, number of syllables, strong, heavy, syllable weight, rhyme, weak syllable, syllable peak",Note A strong syllable has a rhyme which either has a syllable peak which is a long vowel or diphthong or a vowel followed by a coda ie one or more consonants Weak syllables haye a syllable peak which is a short vowel and no coda unless the syllable peak is a bonanza b resurrect c cinema _ d remember e embroider f algebra g entertain h aroma gd ALTE de 71E D O D
/TExams/2008_2a.png,2008_2a.PNG,2008_2a,"connected speech, articulation, rhythm, place assimilation, flap, deletion, consonant deletion",17 2 8 Az B BE aA Heo 44 Ades Me 98 4 doh Wee BAO a 0 A4lad 2a 2ae 2 44 All languages modify complicated sequences in connected speech in order to simplify the articulation process The main function of most of the adjustments in English is to promote the regularity of English rhythm that is to squeeze syllables between stressed elements and facilitate their articulation so that regular timing can be muintained Specifically the following optional phonological processes frequently occur in connected speech in North American English Alveolar stops are assimilated in place of articulation to following bilabial or velar stops across word boundaries Oral alveolar stops are pronounced as a flap after a stressed vowel and before an unstressed vowel Oral alveolar stops are deleted if they are central ina sequence of three consonants
/TExams/2008_2b.png,2008_2b.PNG,2008_2b,"connected speech, articulation, rhythm, place assimilation, flap, deletion, consonant deletion",a He has a green car b Please send Susan a box of chocolates c Would you care for a bit of cheese G a G d met Bob yesterday Stas 8S a green car b send Susan c bit of d met Bob
/TExams/2008_3a.png,2008_3a.PNG,2008_3a,"intonation, line, marked, unmarked, question, syntactic, prosodic, context, meaning",6 43 az aA tele lo Intonation in questions functions to differentiate normal information from contrastive or expressive intentions In other words intonation performs an important conversation management function with the speaker being able to subtly signal to the interlocutor to respond in a particular fashion or to pay particular attention to a piece of highlighted information There are two syntactic options for making yes no questions The first option which is general or unmarked involves the inversion of the subject and the auxiliary verb as in Did Tom cook DINner This unmarked option is accompanied by rising intonation In this pattern the speaker is asking about the truth of what he or she is saying
