Number,Terminology,Description,Example
1,affricate,"This term names a single consonant sound that starts with a complete closure of the vocal tract, exactly like an ordinary stop, but then releases that closure gradually into a narrow gap rather than opening freely, so that a short burst of frication noise follows the closure at the same place of articulation. Because the closure and the following frication occur together at one location and are treated by speakers as a single phonological unit rather than two separate sounds, this sound patterns as one segment in syllable structure and in phonological rules, and it is counted as only one sound when speakers judge how many sounds a word contains. English has two such sounds, both produced at the post-alveolar region, one voiceless and one voiced. These sounds are common across languages but not universal, and languages differ in how many such combinations of closure-plus-frication they contrast. In feature terms, this sound is usually described as having a delayed release compared with a plain stop, capturing the brief but audible frication that follows the closure before the articulators separate fully.",The 'ch' in 'church' /tʃɜːrtʃ/ and the 'j' in 'judge' /dʒʌdʒ/ each combine a stop-like closure with a following burst of frication at the same place of articulation.
2,allophone,"This term refers to one of the different phonetic realizations that a single phoneme can take on the surface, that is, one of the variant pronunciations a speaker produces without that variation changing the identity or meaning of the word. Such variants typically arise from predictable phonetic context, such as the position of a sound within the syllable or word, the sounds surrounding it, or the presence of stress nearby, and their distribution is described by phonological rules that state exactly where each variant occurs. Crucially, substituting one variant for another in this relationship never creates a new word or a different meaning; native speakers usually are not consciously aware of the difference unless it is pointed out, since the variants are treated mentally as the same underlying sound. This relationship contrasts with contrastive sound units capable of distinguishing meaning on their own. The link between an underlying sound category and its surface variants is central to phonological analysis, since much of phonology is devoted to discovering which phonetic differences are predictable and non-contrastive in this way and which instead distinguish meaning in a given language.","In English, the puff of air heard in [pʰ] in 'pin' and its absence in [p] in 'spin' are two surface variants of one and the same underlying /p/."
3,alternation,"This term describes a situation in which a single morpheme is pronounced differently depending on the phonological or morphological environment it appears in, so that the same underlying unit surfaces as two or more distinct forms. Such patterns can be purely phonological, triggered automatically by nearby sounds or stress and predictable by a general rule, or they can be conditioned morphologically, occurring only in specific grammatical contexts such as particular suffixes or irregular paradigms. Identifying this kind of variation is one of the main tasks of phonological analysis, because the pattern often reveals what the underlying representation of a morpheme is and what rules apply to derive the different surface forms. Linguists distinguish cases that are still phonologically active and productive from those that have become lexicalized historical relics no longer governed by any live rule in the synchronic grammar. Studying such patterns helps explain why related words in the same language family can sound quite different on the surface while still being recognized by speakers as forms built on the same root.","The regular plural suffix surfaces as [s], [z], or [ɪz] depending on context, as in 'cats' [kæts], 'dogs' [dɒgz], and 'buses' [bʌsɪz]."
4,alveolar,"This term names a place of articulation in which the active articulator, usually the tip or blade of the tongue, makes contact with or approaches the bony ridge located just behind the upper front teeth. This place of articulation is extremely common across the world's languages and typically supports several different manners of articulation, since a wide range of consonant types, including stops, fricatives, nasals, laterals, and approximants, can all be produced comfortably at this location. In English specifically, this region hosts one of the richest sets of contrasting consonants in the entire inventory, more than any other single place of articulation, reflecting how flexible and precisely controllable the tongue tip is for making fine articulatory distinctions. Consonants made here are often contrasted with sounds made at neighboring places, such as those made at or near the teeth and those made slightly further back, and learners of English as a second language sometimes need to adjust the precise tongue placement if their native language uses a nearby but distinct place of articulation.","/t/, /d/, /s/, /z/, /n/, and /l/ in English are all made at this same place of articulation, as in 'tap', 'dip', 'sun', 'zoo', 'nap', and 'lip'."
5,ambisyllabicity,"This term names the phenomenon in which a single consonant appears to belong simultaneously to two adjacent syllables rather than being clearly assigned to only the end of the first syllable or only the beginning of the second. This typically occurs with an intervocalic consonant following a short, stressed vowel, where phonetic evidence, such as the degree of aspiration, vowel length, or resyllabification behavior in fast speech, suggests that the consonant is shared between the preceding and following syllables rather than uniquely owned by either one. Positing such double membership is proposed as a solution to cases where straightforward syllabification rules give conflicting or ambiguous results, and it has consequences for stress assignment, for judgments about syllable weight, and for rules that are sensitive to whether a consonant counts as closing one syllable or opening the next. Not all phonologists accept this device as theoretically necessary, and some frameworks instead handle the same facts through resyllabification rules or gradient phonetic detail, but the notion remains a useful way of describing the intuitive 'in-between' status that certain medial consonants seem to have.","The /p/ in 'happy' is often analyzed as belonging to both syllables at once, as if the word were split either hap.py or ha.ppy."
6,aspiration,"This term names a burst of voiceless airflow that follows the release of certain voiceless stop consonants before the onset of voicing for a following vowel or sonorant, measured phonetically as a delay, called voice onset time, between the release of the closure and the start of vocal fold vibration. In English, this property is not contrastive on its own but is instead automatic and rule-governed: voiceless stops carry it in certain strong positions, such as at the beginning of a stressed syllable, and lack it in weaker positions, such as after /s/ or in unstressed syllables, making the two variants allophones of the same phoneme rather than separate sounds. In many other languages, however, this same property is phonemic, meaning that stops with and without it contrast directly and can distinguish otherwise identical words, so learners whose native language does not use it contrastively must learn to both perceive and control it consciously. It is typically transcribed with a small raised h, and its presence or absence is one of the clearest acoustic cues that phoneticians use to classify stop consonants across languages.","The /p/ in 'pin' [pʰɪn] carries this puff of breath, while the /p/ in 'spin' [spɪn] lacks it, though both represent the same phoneme /p/."
7,assimilation (vs. dissimilation),"One of this pair of opposite processes occurs when one sound becomes more similar to, or identical with, a neighboring sound, typically by taking on one or more of its phonetic features such as place of articulation, manner, voicing, or nasality; this is extremely common across languages because it reflects the physiological tendency of articulators to move efficiently and anticipate or carry over gestures from adjacent sounds, and it can apply within a word, across morpheme boundaries, or even across word boundaries in connected speech. The other, much rarer process is the opposite: two sounds that are similar or identical become less alike, usually to make them easier to perceive as distinct or easier to articulate in sequence. Both processes can be regressive, where a sound is influenced by a following sound, or progressive, where a sound is influenced by a preceding one, and both are frequently invoked to explain historical sound changes as well as synchronic alternations that speakers apply automatically in everyday speech.","The prefix 'in-' takes on the place of articulation of a following /p/, /b/, or /m/, giving 'impossible' rather than 'inpossible'."
8,"bilabial (labial, labial-velar, labio-dental)","This first term names a place of articulation in which the two lips come together to form a complete or partial closure of the vocal tract, one of the most basic and cross-linguistically common places of articulation because it requires no precise tongue positioning. The broader category to which it belongs covers any sound involving the lips as an active articulator, which also includes sounds in which the lower lip approaches the upper teeth, and sounds in which lip rounding combines simultaneously with a raising of the back of the tongue toward the velum, the latter being doubly articulated because they have two simultaneous primary constrictions of roughly equal importance rather than one primary and one secondary articulation. These related but distinct categories are important to keep separate because they behave differently in phonological rules and can pattern with different natural classes depending on the language, even though all of them share the common feature of active lip involvement.","/p, b, m/ involve only the two lips, as in 'pat', 'bat', and 'mat', unlike /f, v/, which involve the lower lip against the upper teeth, or /w/, which adds lip rounding to tongue-back raising."
9,clear 'l' (vs. dark 'l'),"This pair of variant pronunciations of the lateral approximant phoneme /l/ differ mainly in the position and shape of the tongue body, particularly whether the back of the tongue is raised toward the velum. One variant is produced with a relatively flat tongue body and little or no velar raising, giving it a brighter, more front-vowel-like acoustic quality, whereas the other, often called the velarized variant, involves simultaneous raising of the back of the tongue toward the soft palate, giving it a lower, more back-vowel-like resonance. In many varieties of English, the distribution of these two variants is governed by syllable position: the brighter variant tends to occur in syllable-initial position, especially before a vowel, while the velarized variant tends to occur in syllable-final position or before a consonant. Because this distribution is predictable from context and does not create meaning contrasts, the two variants are treated as allophones of a single phoneme rather than as separate phonemes, even though listeners can often hear the acoustic difference once it is pointed out.","In many English accents, the 'l' in 'leaf' [liːf] has a brighter quality, while the 'l' in 'feel' [fiːɫ] has a lower, velarized quality."
10,closed syllable (vs. open syllable),"One member of this pair of syllable types ends in one or more consonants, meaning it has a filled position following the vowel nucleus, whereas the other member ends in a vowel with nothing filling that following position at all, so that the vowel itself is the final sound of the syllable. This distinction matters for several areas of phonology, including vowel length and quality, since many languages show systematic differences in how vowels are realized depending on which of the two syllable types they occur in, and it also matters for syllable weight, because the consonant-final type is often, though not universally, treated as heavier than the vowel-final type for purposes of stress assignment. In English spelling instruction, this pair of syllable types is frequently used pedagogically to help learners predict vowel pronunciation, since a vowel followed by nothing is often long or tense while the same letter followed by a consonant is often short or lax, although this correspondence is only a rough tendency rather than an exceptionless rule.","'Go' [goʊ] ends directly in a vowel, while 'got' [gɒt] ends in the consonant /t/ following the same vowel quality."
